Rang,Proprietaire,SIREN,Nb_Etablissements,Enseignes,Adresses
1,LA VESPADESCARMES,813605789,3,LA VESPA,11 Rue DES CARMES | 9 Rue DES CARMES | 5 Rue DES CARMES
2,VINCENZO JUIVERIE,849577630,2,VINCENZO,5 Rue DE LA JUIVERIE | 13 Place DU PILORI
3,CONVIVIO-RCO,341067692,2,RESTECO-COLLEGE ST JACQUES DE COMP | RESTECO-EXTERNATS NANTAIS,11 Rue GABRIEL | 31 Avenue CAMUS
4,ECAREST,504038787,2,LE POINT BAR | LE PROGRES,38 Rue LA NOUE BRAS DE FER
5,SHER,832809149,2,SURAJ | LE KASHMIR,6 Allée D'ERDRE | 4 Rue SANTEUIL
6,RESTAURANT LAMACCOTTE,818640138,2,RESTAURANT LAMACCOTTE | LAMACCOTTE,7 Rue SAINT DENIS
7,RESTORIA,332323047,2,ECOLE ST JOSEPH NANTES,63 B Rue D'ALLONVILLE | Rue GISELE GIRAUDEAU
8,VERTIGO,532402658,2,VERTIGO | PALACE VERTIGO,27 Rue LA NOUE BRAS DE FER | 3  MAIL DU FRONT POPULAIRE
9,RENODO,798990693,2,180G,6 C Place FRANCOIS II | 8 Rue MAGDELEINE
10,EMYMOLETTE,842308314,2,LE Z | LE ZED TORTIERE,120 Boulevard DES BELGES | 23 Boulevard DE LA PRAIRIE AU DUC
11,EURL JANBAR,441560323,2,LE BON PASTEUR,3 Place DU BON PASTEUR | 5 Rue MARCEAU
12,ERAL,498351063,2,NOW SUSHI,32 B Rue FOURE | 4 Rue COPERNIC
13,DENIZ SARL,407890847,2,KUSADASI,6 Rue ARMAND BROSSARD | 4 Rue ARMAND BROSSARD
14,ABPAL,525062337,2,PALATIUM CAFE | ANNESSO,1 Place ARISTIDE BRIAND
15,EPIKUR,895403525,2,MIKUI | EPIKUR,7 Rue DES REMORQUEURS | 45 Quai MALAKOFF
